0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 5, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 8, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 8, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 8, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 9, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 8, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 3, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 9, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 9, 10, 1, 8, 3, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 3, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 10, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 10, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 10, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 10, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 10, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 10, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 3, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 3, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 9, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 9, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 3, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 10, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 5, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 8, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 5, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 0, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 3, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 10, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 10, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 3, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 10, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 10, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 8, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 5, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 0, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 10, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 5, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
10, 10, 9, 1, 3, 10, 9, 3, 1, 8, 3, 0, 5, 0, 2, 7, 0, 4, 2, 9, 9, 8, 0, 5, 9, 0, 4, 2, 8, 0, 5, 4, 10, 5, 3, 8, 8, 8, 0, 10, 0, 4, 6, 4, 10, 1, 8, 10, 10, 8, 10, 8, 6, 4, 3, 1, 5, 4, 0, 9, 3, 3, 3, 9, 3, 9, 2, 8, 1, 6, 3, 8, 5, 3, 0, 4, 0, 9, 2, 9, 4, 10, 10, 5, 1, 2, 2, 9, 8, 8, 9, 2, 5, 9, 3, 9, 0, 5, 1, 0, 0, 3, 4, 5, 10, 10, 1, 4, 3, 0, 2, 4, 2, 0, 5, 10, 2, 3, 4, 6, 2, 5, 8, 9, 1, 5, 0, 5, 1, 2, 6, 9, 0, 3, 9, 0, 5, 9, 3, 2, 10, 3, 1, 0, 5, 0, 0, 0, 10, 2, 5, 4, 8, 4, 5, 0, 9, 5, 0, 10, 9, 1, 9, 9, 7, 1, 0, 9, 4, 0, 9, 5, 0, 3, 8, 0, 10, 5, 3, 9, 6, 7, 2, 9, 8, 9, 9, 0, 3, 0, 4, 6, 9, 1, 9, 0, 4, 10, 9, 3
